,X,Y,Z,U,V,W
1 days 13:05:00,-5888.12681485453,-3642.9263937358337,-49.72319382424289,2.3694060229178833,-3.904457652386857,6.0654266906482555
1 days 13:06:40,-5616.2950318044595,-4010.7099970708528,555.8997562118991,3.061787626056885,-3.4438309527961106,6.03487835025156
1 days 13:08:20,-5276.993123113001,-4330.311575845191,1154.8258320341656,3.717444645520583,-2.9417926342111462,5.931627669254268
1 days 13:10:00,-4874.2948699900135,-4597.890289302555,1739.840327241046,4.3284296472217605,-2.404423527760535,5.7569244209872314
1 days 13:11:40,-4413.042558674234,-4810.235242515491,2303.8968477836534,4.887348560566671,-1.838237170600307,5.512900224727085
1 days 13:13:20,-3898.7854818271494,-4964.80531586876,2840.2059532044973,5.387456441416041,-1.250092924002623,5.202538035240674
1 days 13:15:00,-3337.7123219462183,-5059.758724496839,3342.316527524322,5.822739199244656,-0.6471085701530549,4.829631070000989
1 days 13:16:40,-2736.572878766472,-5093.974695634432,3804.195756700143,6.187987107354288,-0.03656717292649726,4.39872940284924
1 days 13:18:20,-2102.5951415806776,-5067.065159891654,4220.3011069500035,6.478853891911964,0.5741743395407384,3.9150782601184937
1 days 13:20:00,-1443.3972965439316,-4979.377701671561,4585.64598674459,6.691903755318748,1.177775611014181,3.3845488529121597
1 days 13:21:40,-766.8929925706396,-4831.989214157245,4895.859639733257,6.824646817976867,1.7670035055466229,2.8135607479453806
1 days 13:23:20,-81.19767109147459,-4626.691236153931,5147.236866967474,6.875560915504441,2.334815787013118,2.2090024303402354
1 days 13:25:00,605.4710288243348,-4365.966180295819,5336.781603085307,6.844102820127419,2.8744444624607266,1.5781447518369167
1 days 13:26:40,1284.8890311895523,-4052.9567778648434,5462.240092579803,6.730707854998588,3.379470695807171,0.9285556757236603
1 days 13:28:20,1948.9254230611011,-3691.4266177802288,5522.126674432974,6.536779240316588,3.843898145668436,0.2680095416346483
1 days 13:30:00,2589.636141724236,-3285.7156272102457,5515.739645526635,6.264668208114482,4.262217605449325,-0.39560037711275853
1 days 13:31:40,3199.3594688689677,-2840.687047876554,5443.168752792431,5.917643965435632,4.629469215416934,-1.0543537363784508
1 days 13:33:20,3770.8039724745963,-2361.671075395272,5305.293551012662,5.499856358430739,4.941296165910664,-1.700390527774076
1 days 13:35:00,4297.13619876388,-1854.4005675691155,5103.772587301454,5.016288004503725,5.193995012138711,-2.3260020756915187
